Time	U1	Uc1	I2	U2
0.017200	2.800000	4.285872	0.000175	0.391772
0.017300	2.700000	4.186880	0.000157	0.392409
0.017400	2.600000	4.087784	0.000138	0.392976
0.017500	2.500000	3.988591	0.000120	0.393473
0.017600	2.400000	3.889306	0.000102	0.393899
0.017700	2.300000	3.789937	0.000084	0.394256
0.017800	2.200000	3.690487	0.000065	0.394542
0.017900	2.100000	3.590963	0.000047	0.394758
0.018000	2.000000	3.491370	0.000029	0.394904
0.018100	1.900000	3.391711	0.000011	0.394980
0.018200	1.800000	3.291991	-0.000008	0.394986
0.018300	1.700000	3.192215	-0.000026	0.394921
0.018400	1.600000	3.092384	-0.000044	0.394787
0.018500	1.500000	2.992504	-0.000062	0.394582
0.018600	1.400000	2.892578	-0.000081	0.394307
0.018700	1.300000	2.792608	-0.000099	0.393962
0.018800	1.200000	2.692597	-0.000117	0.393547
0.018900	1.100000	2.592547	-0.000135	0.393063
0.019000	1.000000	2.492463	-0.000153	0.392508
0.019100	0.900000	2.392345	-0.000171	0.391883
0.019200	0.800000	2.292196	-0.000190	0.391189
0.019300	0.700000	2.192018	-0.000208	0.390425
0.019400	0.600000	2.091812	-0.000226	0.389591
0.019500	0.500000	1.991582	-0.000244	0.388688
0.019600	0.400000	1.891328	-0.000262	0.387715
0.019700	0.300000	1.791051	-0.000280	0.386673
0.019800	0.200000	1.690754	-0.000298	0.385562
0.019900	0.100000	1.590438	-0.000316	0.384381
0.020000	0.000000	1.490104	-0.000334	0.383131
0.020100	-0.100000	1.389754	-0.000352	0.381812
0.020200	-0.200000	1.289387	-0.000370	0.380424
0.020300	-0.300000	1.189006	-0.000388	0.378967
0.020400	-0.400000	1.088612	-0.000406	0.377441
0.020500	-0.500000	0.988205	-0.000423	0.375847
0.020600	-0.600000	0.887786	-0.000441	0.374184
0.020700	-0.700000	0.787357	-0.000459	0.372453
0.020800	-0.800000	0.686917	-0.000477	0.370653
0.020900	-0.900000	0.586468	-0.000494	0.368785
0.021000	-1.000000	0.486010	-0.000512	0.366849
0.021100	-1.100000	0.385544	-0.000530	0.364846
0.021200	-1.200000	0.285071	-0.000547	0.362774
0.021300	-1.300000	0.184590	-0.000565	0.360635
0.021400	-1.400000	0.084104	-0.000583	0.358428
0.021500	-1.500000	-0.016389	-0.000600	0.356154
0.021600	-1.600000	-0.116887	-0.000617	0.353813
0.021700	-1.700000	-0.217390	-0.000635	0.351404
0.021800	-1.800000	-0.317898	-0.000652	0.348929
0.021900	-1.900000	-0.418410	-0.000670	0.346387
0.022000	-2.000000	-0.518925	-0.000687	0.343778
0.022100	-2.100000	-0.619445	-0.000704	0.341103
0.022200	-2.200000	-0.719967	-0.000721	0.338362
0.022300	-2.300000	-0.820492	-0.000739	0.335554
0.022400	-2.400000	-0.921020	-0.000756	0.332681
0.022500	-2.500000	-1.021551	-0.000773	0.329742
0.022600	-2.600000	-1.122083	-0.000790	0.326737
0.022700	-2.700000	-1.222617	-0.000807	0.323667
0.022800	-2.800000	-1.323153	-0.000824	0.320531
0.022900	-2.900000	-1.423690	-0.000841	0.317331
0.023000	-3.000000	-1.524229	-0.000857	0.314066
0.023100	-3.100000	-1.624768	-0.000874	0.310736
0.023200	-3.200000	-1.725309	-0.000891	0.307341
0.023300	-3.300000	-1.825850	-0.000908	0.303883
0.023400	-3.400000	-1.926392	-0.000924	0.300360
